"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
17336,105,"IND","India",13,"Haryana",164,"Rohtak","","","District","District"
17337,105,"IND","India",13,"Haryana",165,"Sirsa","","Sirasa","District","District"
17338,105,"IND","India",13,"Haryana",166,"Sonepat","","Sonipat","District","District"
17339,105,"IND","India",13,"Haryana",167,"Yamuna Nagar","","","District","District"
17340,105,"IND","India",14,"Himachal Pradesh",168,"Bilaspur","","","District","District"
17341,105,"IND","India",14,"Himachal Pradesh",169,"Chamba","","","District","District"
17342,105,"IND","India",14,"Himachal Pradesh",170,"Hamirpur","","","District","District"
17343,105,"IND","India",14,"Himachal Pradesh",171,"Kangra","","","District","District"
17344,105,"IND","India",14,"Himachal Pradesh",172,"Kinnaur","","Kalpa","District","District"
17345,105,"IND","India",14,"Himachal Pradesh",173,"Kullu","","","District","District"
17346,105,"IND","India",14,"Himachal Pradesh",174,"Lahul and Spiti","","","District","District"
17347,105,"IND","India",14,"Himachal Pradesh",175,"Mandi","","","District","District"
17348,105,"IND","India",14,"Himachal Pradesh",176,"Shimla","","Simla","District","District"
17349,105,"IND","India",14,"Himachal Pradesh",177,"Sirmaur","","Sirmour|Sirmoor|Sirmur","District","District"
17350,105,"IND","India",14,"Himachal Pradesh",178,"Solan","","","District","District"
17351,105,"IND","India",14,"Himachal Pradesh",179,"Una","","","District","District"
17352,105,"IND","India",15,"Jammu and Kashmir",180,"Anantnag (Kashmir South)","","","District","District"
17353,105,"IND","India",15,"Jammu and Kashmir",181,"Bagdam","","","District","District"
17354,105,"IND","India",15,"Jammu and Kashmir",182,"Baramula (Kashmir North)","","","District","District"
17355,105,"IND","India",15,"Jammu and Kashmir",183,"Doda","","","District","District"
17356,105,"IND","India",15,"Jammu and Kashmir",184,"Jammu","","","District","District"
17357,105,"IND","India",15,"Jammu and Kashmir",185,"Kargil","","","District","District"
17358,105,"IND","India",15,"Jammu and Kashmir",186,"Kathua","","","District","District"
17359,105,"IND","India",15,"Jammu and Kashmir",187,"Kupwara (Muzaffarabad)","","","District","District"
17360,105,"IND","India",15,"Jammu and Kashmir",188,"Ladakh (Leh)","","","District","District"
17361,105,"IND","India",15,"Jammu and Kashmir",189,"Pulwama","","","District","District"
17362,105,"IND","India",15,"Jammu and Kashmir",190,"Punch","","","District","District"
17363,105,"IND","India",15,"Jammu and Kashmir",191,"Rajauri","","","District","District"
17364,105,"IND","India",15,"Jammu and Kashmir",192,"Srinagar","","","District","District"
17365,105,"IND","India",15,"Jammu and Kashmir",193,"Udhampur","","","District","District"
17366,105,"IND","India",16,"Jharkhand",194,"Bokaro","","","District","District"
17367,105,"IND","India",16,"Jharkhand",195,"Chatra","","","District","District"
17368,105,"IND","India",16,"Jharkhand",196,"Deoghar","","Devghar","District","District"
17369,105,"IND","India",16,"Jharkhand",197,"Dhanbad","","","District","District"
17370,105,"IND","India",16,"Jharkhand",198,"Dumka","","Santhal Pargana, Santal Parganas","District","District"
17371,105,"IND","India",16,"Jharkhand",199,"Garhwa","","","District","District"
17372,105,"IND","India",16,"Jharkhand",200,"Giridih","","","District","District"
17373,105,"IND","India",16,"Jharkhand",201,"Godda","","Goodda","District","District"
17374,105,"IND","India",16,"Jharkhand",202,"Gumla","","","District","District"
17375,105,"IND","India",16,"Jharkhand",203,"Hazaribag","","","District","District"
17376,105,"IND","India",16,"Jharkhand",204,"Jamtara","","","District","District"
17377,105,"IND","India",16,"Jharkhand",205,"Koderma","","","District","District"
17378,105,"IND","India",16,"Jharkhand",206,"Latehar","","","District","District"
17379,105,"IND","India",16,"Jharkhand",207,"Lohardaga","","Lohargada","District","District"
17380,105,"IND","India",16,"Jharkhand",208,"Pakur","","","District","District"
17381,105,"IND","India",16,"Jharkhand",209,"Palamu","","","District","District"
17382,105,"IND","India",16,"Jharkhand",210,"Pashchim Singhbhum","","Singhbhum West","District","District"
17383,105,"IND","India",16,"Jharkhand",211,"Purba Singhbhum","","Singhbhum East","District","District"
17384,105,"IND","India",16,"Jharkhand",212,"Ranchi","","","District","District"
17385,105,"IND","India",16,"Jharkhand",213,"Sahibganj","","","District","District"
17386,105,"IND","India",16,"Jharkhand",214,"Saraikela Kharsawan","","","District","District"
17387,105,"IND","India",16,"Jharkhand",215,"Simdega","","","District","District"
17388,105,"IND","India",17,"Karnataka",216,"Bagalkot","","","District","District"
17389,105,"IND","India",17,"Karnataka",217,"Bangalore Rural","","","District","District"
17390,105,"IND","India",17,"Karnataka",218,"Bangalore Urban","","","District","District"
17391,105,"IND","India",17,"Karnataka",219,"Belgaum","","","District","District"
17392,105,"IND","India",17,"Karnataka",220,"Bellary","","","District","District"
17393,105,"IND","India",17,"Karnataka",221,"Bidar","","","District","District"
17394,105,"IND","India",17,"Karnataka",222,"Bijapur","","","District","District"
17395,105,"IND","India",17,"Karnataka",223,"Chamrajnagar","","","District","District"
17396,105,"IND","India",17,"Karnataka",224,"Chikmagalur","","Chikmaglur|Kadur","District","District"
17397,105,"IND","India",17,"Karnataka",225,"Chitradurga","","Chitaldroog|Chitaldrug","District","District"
17398,105,"IND","India",17,"Karnataka",226,"Dakshin Kannad","","","District","District"
17399,105,"IND","India",17,"Karnataka",227,"Davanagere","","","District","District"
17400,105,"IND","India",17,"Karnataka",228,"Dharwad","","Dhawad, Dharwar","District","District"
17401,105,"IND","India",17,"Karnataka",229,"Gadag","","","District","District"
17402,105,"IND","India",17,"Karnataka",230,"Gulbarga","","","District","District"
17403,105,"IND","India",17,"Karnataka",231,"Hassan","","","District","District"
17404,105,"IND","India",17,"Karnataka",232,"Haveri","","","District","District"
17405,105,"IND","India",17,"Karnataka",233,"Kodagu","","Coorg","District","District"
17406,105,"IND","India",17,"Karnataka",234,"Kolar","","","District","District"
17407,105,"IND","India",17,"Karnataka",235,"Koppal","","","District","District"
17408,105,"IND","India",17,"Karnataka",236,"Mandya","","","District","District"
17409,105,"IND","India",17,"Karnataka",237,"Mysore","","","District","District"
17410,105,"IND","India",17,"Karnataka",238,"Raichur","","","District","District"
17411,105,"IND","India",17,"Karnataka",239,"Shimoga","","","District","District"
17412,105,"IND","India",17,"Karnataka",240,"Tumkur","","","District","District"
17413,105,"IND","India",17,"Karnataka",241,"Udupi","","","District","District"
17414,105,"IND","India",17,"Karnataka",242,"Uttar Kannand","","","District","District"
17415,105,"IND","India",18,"Kerala",243,"Alappuzha","","Alleppey","District","District"
17416,105,"IND","India",18,"Kerala",244,"Ernakulam","","","District","District"
17417,105,"IND","India",18,"Kerala",245,"Idukki","","Idikki","District","District"
17418,105,"IND","India",18,"Kerala",246,"Kannur","","Cannanore","District","District"
17419,105,"IND","India",18,"Kerala",247,"Kasaragod","","","District","District"
17420,105,"IND","India",18,"Kerala",248,"Kollam","","Quilon","District","District"
17421,105,"IND","India",18,"Kerala",249,"Kottayam","","","District","District"
17422,105,"IND","India",18,"Kerala",250,"Kozhikode","","Calicut","District","District"
17423,105,"IND","India",18,"Kerala",251,"Malappuram","","","District","District"
17424,105,"IND","India",18,"Kerala",252,"Palakkad","","Palghat","District","District"
17425,105,"IND","India",18,"Kerala",253,"Pattanamtitta","","","District","District"
17426,105,"IND","India",18,"Kerala",254,"Thiruvananthapuram","","Trivandrum","District","District"
17427,105,"IND","India",18,"Kerala",255,"Thrissur","","Trichur","District","District"
17428,105,"IND","India",18,"Kerala",256,"Wayanad","","Wynaad|Wynad","District","District"
17429,105,"IND","India",19,"Lakshadweep",257,"Kavaratti","","","District","District"
17430,105,"IND","India",20,"Madhya Pradesh",258,"Anuppur","","","District","District"
17431,105,"IND","India",20,"Madhya Pradesh",259,"Ashoknagar","","","District","District"
17432,105,"IND","India",20,"Madhya Pradesh",260,"Balaghat","","","District","District"
17433,105,"IND","India",20,"Madhya Pradesh",261,"Barwani","","","District","District"
17434,105,"IND","India",20,"Madhya Pradesh",262,"Betul","","","District","District"
17435,105,"IND","India",20,"Madhya Pradesh",263,"Bhind","","","District","District"
17436,105,"IND","India",20,"Madhya Pradesh",264,"Bhopal","","","District","District"
17437,105,"IND","India",20,"Madhya Pradesh",265,"Burhanpur","","","District","District"
17438,105,"IND","India",20,"Madhya Pradesh",266,"Chhatarpur","","Chhatapur|Chatarpur","District","District"
17439,105,"IND","India",20,"Madhya Pradesh",267,"Chhindwara","","","District","District"
17440,105,"IND","India",20,"Madhya Pradesh",268,"Damoh","","","District","District"
17441,105,"IND","India",20,"Madhya Pradesh",269,"Datia","","","District","District"
17442,105,"IND","India",20,"Madhya Pradesh",270,"Dewas","","","District","District"
17443,105,"IND","India",20,"Madhya Pradesh",271,"Dhar","","","District","District"
17444,105,"IND","India",20,"Madhya Pradesh",272,"Dindori","","","District","District"
17445,105,"IND","India",20,"Madhya Pradesh",273,"East Nimar","","Khandwa","District","District"
17446,105,"IND","India",20,"Madhya Pradesh",274,"Guna","","Goona","District","District"
17447,105,"IND","India",20,"Madhya Pradesh",275,"Gwalior","","Gird, Gird Gwalior","District","District"
17448,105,"IND","India",20,"Madhya Pradesh",276,"Harda","","","District","District"
17449,105,"IND","India",20,"Madhya Pradesh",277,"Hoshangabad","","","District","District"
17450,105,"IND","India",20,"Madhya Pradesh",278,"Indore","","","District","District"
17451,105,"IND","India",20,"Madhya Pradesh",279,"Jabalpur","","Jubbulpore","District","District"
17452,105,"IND","India",20,"Madhya Pradesh",280,"Jhabua","","","District","District"
17453,105,"IND","India",20,"Madhya Pradesh",281,"Katni","","","District","District"
17454,105,"IND","India",20,"Madhya Pradesh",282,"Mandla","","","District","District"
17455,105,"IND","India",20,"Madhya Pradesh",283,"Mandsaur","","Mandasor","District","District"
17456,105,"IND","India",20,"Madhya Pradesh",284,"Morena","","Tonwarghar","District","District"
17457,105,"IND","India",20,"Madhya Pradesh",285,"Narsinghpur","","Narsimhapur","District","District"
17458,105,"IND","India",20,"Madhya Pradesh",286,"Neemuch","","","District","District"
17459,105,"IND","India",20,"Madhya Pradesh",287,"Panna","","","District","District"
17460,105,"IND","India",20,"Madhya Pradesh",288,"Raisen","","","District","District"
17461,105,"IND","India",20,"Madhya Pradesh",289,"Rajgarh","","","District","District"
17462,105,"IND","India",20,"Madhya Pradesh",290,"Ratlam","","","District","District"
17463,105,"IND","India",20,"Madhya Pradesh",291,"Rewa","","","District","District"
17464,105,"IND","India",20,"Madhya Pradesh",292,"Sagar","","Saugor","District","District"
17465,105,"IND","India",20,"Madhya Pradesh",293,"Satna","","","District","District"
17466,105,"IND","India",20,"Madhya Pradesh",294,"Sehore","","","District","District"
17467,105,"IND","India",20,"Madhya Pradesh",295,"Seoni","","","District","District"
17468,105,"IND","India",20,"Madhya Pradesh",296,"Shahdol","","Sahdol","District","District"
17469,105,"IND","India",20,"Madhya Pradesh",297,"Shajapur","","","District","District"
17470,105,"IND","India",20,"Madhya Pradesh",298,"Sheopur","","Sheopur Kala","District","District"
17471,105,"IND","India",20,"Madhya Pradesh",299,"Shivpuri","","Narwar","District","District"
17472,105,"IND","India",20,"Madhya Pradesh",300,"Sidhi","","","District","District"
17473,105,"IND","India",20,"Madhya Pradesh",301,"Tikamgarh","","","District","District"
17474,105,"IND","India",20,"Madhya Pradesh",302,"Ujjain","","","District","District"
17475,105,"IND","India",20,"Madhya Pradesh",303,"Umaria","","","District","District"
17476,105,"IND","India",20,"Madhya Pradesh",304,"Vidisha","","","District","District"
